lemma,norm
moment,2.3810368
sale,2.6670098
policy,2.5452526
further,2.1136053
body,2.6300282
require,2.6576064
wait,2.5965028
general,2.2145388
appear,2.449407
toward,2.7403429
team,2.1294394
easy,2.535269
individual,2.1908176
full,2.1646018
black,2.4613173
sense,2.445565
perhaps,1.7262638
add,2.4401097
rule,2.607921
pass,2.5317607
produce,2.294883
sell,2.6342332
short,2.2951255
agree,2.5938888
law,2.664074
everything,2.2912955
research,2.626462
cover,2.4063034
paper,2.3491642
position,2.3651147
near,2.2158115
human,2.5199702
computer,2.6320024
situation,2.7835422
staff,2.3463378
activity,2.788717
film,2.6443021
morning,2.3464994
war,2.7956393
account,2.6314156
shop,2.8170009
major,2.1675508
someone,2.2525425
above,2.4286056
design,2.51632
event,2.2604904
special,2.1944265
sometimes,2.1277869
condition,2.8997293
carry,2.521732
choose,2.6102788
father,2.4984472
decision,2.6192663
table,2.6800187
certain,1.9929549
forward,2.5941327
main,2.3795793
die,2.977652
bear,2.8708885
cut,2.4532197
describe,2.7647996
himself,2.7647057
available,2.674743
especially,1.7888923
strong,2.3871357
rise,2.6269166
girl,2.90408
maybe,1.9794748
community,2.3470736
else,2.3460155
particular,1.93524
role,2.9566853
join,2.6757214
difficult,2.633698
please,3.3067784
detail,2.695066
difference,2.850873
action,2.3902721
health,2.4687183
eat,2.8182473
step,2.6240935
true,2.2022772
phone,2.7427351
themselves,2.5232005
draw,2.523523
white,2.3527935
date,2.5594027
practice,2.6197052
model,2.350923
raise,2.6897843
customer,2.8934822
front,2.0689936
explain,2.5617497
door,2.832294
outside,2.0355833
behind,2.296102
economic,2.6195233
site,2.428323
approach,2.421706
teacher,3.10423
land,2.5682406
charge,2.201051
finally,2.094895
sign,2.5456395
claim,2.4017084
relationship,3.171761
travel,2.6556492
enjoy,2.6009002
death,2.8293214
nice,2.6850822
amount,2.4891994
improve,2.6869802
picture,2.6465843
boy,2.8028784
regard,2.1423519
organization,2.3085456
happy,2.466733
couple,2.2695093
act,2.310999
range,2.592369
quality,2.5567293
project,2.4406173
round,2.4095592
opportunity,2.6958082
road,2.603055
accord,2.888236
list,2.8484392
wish,2.4213936
therefore,1.8754985
wear,3.0971942
fund,2.6865325
rest,1.9503479
kid,2.8756921
industry,2.6732378
education,2.5700476
measure,2.6205997
kill,2.9371736
serve,2.6479185
likely,2.0876925
certainly,1.9131044
national,2.1564069
itself,2.3264062
teach,2.8012884
field,2.2746341
security,2.6036785
air,2.5033588
benefit,2.3167937
trade,2.8100476
risk,2.7647262
news,2.6354911
standard,2.441713
vote,2.9028249
percent,2.8491027
focus,2.6282218
stage,2.3272033
space,2.5591204
instead,1.944977
realize,2.2826602
usually,2.2218165
data,2.9027562
single,2.146159
address,2.6781175
performance,2.405359
chance,2.407652
accept,2.526811
society,2.7738283
technology,2.266814
mention,2.4068577
choice,2.3677707
save,2.750793
common,2.6497574
culture,2.6902807
total,2.276122
demand,2.6688583
material,2.4800477
limit,2.8691308
listen,2.8779447
due,2.207475
wrong,2.5686722
foot,2.672721
effort,2.3768563
attention,3.1183617
upon,2.49136
check,2.561536
complete,2.2110562
lie,2.700818
pick,2.6839106
reduce,2.8118677
personal,2.4004831
ground,2.332649
animal,3.000859
arrive,2.762908
patient,2.7796607
current,1.8316703
century,3.235457
evidence,2.8603125
exist,2.7909727
similar,2.3020744
fight,2.7114263
leader,2.553841
fine,2.6069028
street,2.520525
former,2.147387
contact,2.8539252
particularly,2.0139875
wife,2.6932597
sport,2.7563062
prepare,2.6766462
discuss,2.8996756
response,2.553996
voice,2.930666
piece,2.422023
finish,2.591911
suppose,2.2591722
apply,2.6169517
president,2.600414
fire,2.847689
compare,3.0220175
court,2.6509044
police,2.6515706
store,2.8110733
poor,2.5138927
knowledge,2.5541103
laugh,2.8571498
arm,2.787063
heart,2.7361887
source,2.688885
employee,2.6391296
manage,2.4232183
simply,1.7958844
bank,2.5649076
firm,2.4327757
cell,3.3890588
article,3.1473863
fast,2.513517
attack,2.8421714
foreign,2.5919144
surprise,2.5454166
feature,2.308951
factor,2.9313197
pretty,2.654746
recently,2.032668
affect,2.9768581
drop,2.4663513
recent,2.1588717
relate,2.803311
official,2.285713
financial,2.491522
miss,2.8233154
art,2.5933352
campaign,2.5237582
private,2.2380104
pause,2.8273718
everyone,2.3276064
forget,2.5864913
page,2.7750456
worry,2.6606665
summer,2.3169365
drink,3.0435443
opinion,2.7644699
park,2.5810354
represent,2.7103536
key,2.3282485
inside,2.0512817
manager,2.8028743
international,2.2496998
contain,2.8875306
notice,2.6852438
wonder,2.5662866
nature,2.370384
structure,2.5095747
section,2.493842
myself,3.0759544
exactly,2.1530697
plant,3.1186552
paint,3.0695474
worker,3.1539507
press,2.369225
whatever,2.2104313
necessary,2.2610793
region,2.2921264
growth,2.8854465
evening,2.191873
influence,2.9478393
respect,2.6524918
various,2.2727942
catch,2.5435383
thus,2.0480688
skill,2.976345
attempt,2.487581
son,2.6229296
simple,2.488335
medium,2.8482823
average,2.8104882
stock,2.9885402
management,2.3328946
character,2.6855798
bed,2.7363636
hit,2.4271207
establish,2.6496165
indeed,1.7442797
final,2.2279098
economy,2.9367218
fit,2.6718714
guy,2.7206323
function,2.5831518
yesterday,1.9629136
image,2.9167974
size,2.8036766
behavior,2.9735076
addition,2.2483962
determine,2.907149
station,2.8532646
population,3.182609
fail,2.5687263
environment,2.5816257
production,2.717495
contract,3.0595756
player,2.7341812
comment,3.765196
enter,2.7123947
occur,3.0099835
alone,2.1077502
significant,2.3263397
drug,2.977363
wall,2.7572727
series,2.2043705
direct,2.1235468
success,2.6797442
tomorrow,2.4348102
director,2.983274
clearly,2.040421
lack,2.7890477
review,2.5135562
depend,3.3121183
race,2.7592905
recognize,2.4166906
window,2.8392212
purpose,2.5962248
department,2.4270234
gain,2.6092188
tree,3.180322
college,2.4679701
argue,2.5579708
board,2.4497428
holiday,2.8777988
mark,2.488691
church,2.8397822
machine,2.634353
achieve,2.6776729
item,2.7743514
prove,2.526962
cent,3.4375794
season,2.5808203
floor,2.8446507
stuff,2.5365117
wide,2.485077
anyone,2.4235249
method,2.8850896
analysis,2.7152028
election,3.1089597
military,2.5862398
hotel,2.8129468
club,2.5405009
below,2.8207603
movie,2.665808
doctor,2.9345007
discussion,2.7852907
sorry,2.9100027
challenge,2.4789634
nation,2.306158
nearly,1.9321
statement,2.654492
link,2.843107
despite,2.2218962
introduce,2.6278543
advantage,2.8302186
ready,2.4530125
marry,3.412589
strike,3.0027373
mile,3.0133827
seek,2.575033
ability,2.655383
unit,2.3600614
card,3.0061831
hospital,2.9143384
quickly,2.3707008
interview,3.0198073
agreement,3.0061576
release,2.6206522
tax,3.1681519
solution,2.8135872
capital,2.648157
popular,2.3530931
specific,2.438977
beautiful,2.637613
fear,2.6097183
aim,2.5491683
television,2.571672
serious,2.3298228
target,2.7432532
degree,3.1044788
pull,2.6406105
red,2.4955459
husband,2.631174
access,2.696688
movement,2.5487878
treat,2.645334
identify,2.79338
loss,2.8209555
shall,3.1031368
modern,2.3627987
pressure,2.9851737
bus,2.984936
treatment,2.691526
yourself,3.3096132
supply,2.620346
village,2.8267016
worth,2.4651735
natural,2.4292028
express,3.0750892
indicate,2.6790364
attend,2.9562275
brother,2.756078
investment,2.6469762
score,2.7734222
organize,2.8420792
trip,2.944231
beyond,2.5104725
sleep,3.1663609
fish,3.009563
promise,2.6414113
potential,2.2900403
energy,2.6203306
trouble,2.6149673
relation,2.3454614
touch,2.4172
file,2.9816484
middle,2.2288866
bar,2.6847565
suffer,2.8845346
strategy,2.5663927
deep,2.533178
except,2.1080396
clean,2.6477814
tend,3.0346622
advance,2.352582
fill,2.9435244
star,2.5929513
network,2.370773
generally,2.168837
operation,2.4593103
match,2.6166372
avoid,2.720077
seat,3.110224
throw,2.9959283
task,2.8128996
normal,2.5410929
goal,2.8117707
associate,2.6268144
blue,2.535163
positive,2.7004178
option,2.6396723
box,2.8374133
huge,2.3888705
message,2.925998
instance,2.0079212
style,2.3757882
refer,2.6649652
cold,2.7303178
push,2.3285186
quarter,2.835677
assume,2.580143
baby,2.9179277
successful,2.3615832
sing,3.1313603
doubt,2.5949526
competition,2.5718002
theory,2.7976325
propose,2.5522218
reference,2.3666809
argument,2.9357235
adult,2.543029
fly,2.9023936
document,2.5548975
pattern,2.9178417
application,2.4552567
hot,2.710568
obviously,2.06783
unclear,3.5431194
bill,2.995849
search,2.9168487
separate,2.264882
central,2.287813
career,3.0417032
anyway,1.8989701
speech,3.1442177
dog,2.9811234
officer,2.947097
throughout,2.3495548
oil,2.9018075
dress,3.1270218
profit,3.31037
guess,2.3504567
fun,2.8576899
protect,2.8486505
resource,2.8753822
science,2.8166432
disease,3.13774
balance,2.8049397
damage,3.1553605
basis,2.680479
author,3.0343857
basic,2.434924
encourage,2.734416
hair,3.3063352
male,2.6567066
operate,2.7764409
reflect,2.6945276
exercise,2.822791
useful,2.686444
restaurant,3.0197918
income,3.0207827
property,2.518367
previous,2.2388248
dark,2.525302
imagine,2.590808
okay,2.4289079
earn,2.8923466
daughter,2.7935815
post,2.2776437
newspaper,2.6118186
define,2.731018
conclusion,2.7599828
clock,3.1348763
everybody,2.691168
weekend,2.348405
perform,2.7370636
professional,2.2862458
mine,3.210715
debate,3.0200484
memory,3.0398762
green,2.6787763
song,2.9864414
object,2.6526682
maintain,2.5221112
credit,2.8629458
ring,2.9503398
discover,2.6179583
dead,2.8362572
afternoon,2.3607507
prefer,2.7305791
extend,2.6743555
possibility,2.6856608
direction,2.6653376
facility,2.7539794
variety,2.3215144
daily,2.5488942
clothes,3.0337474
screen,2.8725123
track,2.3679209
dance,2.9910493
completely,2.5331547
female,2.5487278
responsibility,3.1202695
original,2.1664975
sister,2.6572504
rock,2.733982
dream,3.107426
nor,2.393425
university,2.5196493
easily,2.2669163
agency,2.4805481
dollar,2.955982
garden,3.0082307
fix,2.841397
ahead,2.4635038
cross,2.756353
yeah,2.711951
weight,3.1291533
legal,2.5723782
