nouns, animacy
year,0
way,0
day,0
thing,0
child,1
company,0
problem,0
lot,0
country,0
world,0
week,0
woman,1
system,0
money,0
fact,0
area,0
friend,1
month,0
business,0
government,0
example,0
hour,0
student,1
idea,0
car,0
person,1
city,0
night,0
product,0
office,0
language,0
development,0
town,0
minute,0
food,0
future,0
period,0
history,0
moment,0
sale,0
policy,0
law,0
human,1
computer,0
situation,0
activity,0
morning,0
event,0
decision,0
girl,1
community,0
role,0
action,0
customer,1
door,0
teacher,1
relationship,0
death,0
boy,1
quality,0
opportunity,0
road,0
industry,0
education,0
security,0
standard,0
percent,0
data,0
performance,0
society,0
technology,0
material,0
effort,0
attention,0
animal,1
century,0
street,0
wife,1
response,0
president,1
employee,1
art,0
manager,1
worker,1
region,0
growth,0
evening,0
son,1
medium,0
management,0
economy,0
yesterday,0
addition,0
population,0
environment,0
production,0
player,1
success,0
tomorrow,0
director,1
department,0
tree,0
college,0
item,0
cent,0
method,0
analysis,0
election,0
hotel,0
movie,0
discussion,0
nation,0
statement,0
mile,0
ability,0
unit,0
hospital,0
agreement,0
solution,0
capital,0
television,0
degree,0
movement,0
loss,0
treatment,0
village,0
brother,1
investment,0
energy,0
relation,0
strategy,0
operation,0
goal,0
option,0
competition,0
theory,0
argument,0
application,0
speech,0
science,0
restaurant,0
income,0
property,0
daughter,1
newspaper,0
conclusion,0
memory,0
song,0
afternoon,0
possibility,0
direction,0
facility,0
variety,0
responsibility,0
sister,1
university,0
agency,0
dollar,0
proposal,0
conversation,0
magazine,0
sea,0
communication,0
agent,0
generation,0
difficulty,0
scene,0
writer,1
element,0
committee,0
advice,0
administration,0
text,0
context,0
equipment,0
sex,0
primary,0
collection,0
relative[working]
alternative
attitude
truth
nobody
user
dinner
percentage
peace
crime
decade
consumer
institution
reader
sector
chief
expert
library
audience
procedure
extent
river
reality
artist
presence
category
secretary
driver
introduction
requirement
photo
concept
football
flight
left
background
technique
improvement
consequence
circumstance
reaction
lesson
failure
speaker
mountain
marriage
meal
colleague
expression
owner
lady
duty
strength
payment
contribution
chapter
secret
novel
union
suggestion
path
topic
crisis
kitchen
safety
insurance
length
investigation
weapon
district
tradition
consideration
strange
threat
accident
revenue
cancer
volume
location
actor
opposite
camera
coffee
museum
visitor
freedom
construction
objective
vehicle
scientist
route
danger
army
council
editor
delivery
guest
bedroom
noise
affair
citizen
temperature
belief
troop
arrangement
prison
representative
capacity
assessment
ad
fee
hall
regulation
studio
tourist
component
lawyer
description
confidence
perspective
error
asset
leadership
commitment
literature
victim
division
device
factory
recommendation
resident
combination
principal
session
protection
shot
appearance
judgment
definition
farmer
comparison
identity
desk
association
investor
tea
youth
expectation
employment
breath
engine
notion
opposition
relief
debt
outcome
explanation
researcher
selection
participant
vision
personality
entry
fellow
chemical
chairman
yard
instruction
intelligence
ideal
folk
cat
presentation
faith
reduction
complaint
mission
passenger
justice
religion
employer
impression
sky
ancient
ill
multiple
legislation
county
mobile
assistant
hell
household
voter
absence
medicine
intention
dozen
settlement
estate
shut
victory
critic
emotion
enemy
priority
resolution
injury
exhibition
producer
incident
childhood
politician
lake
aircraft
self
metal
existence
appointment
initiative
plastic
assumption
extreme
passage
reputation
negotiation
mechanism
democracy
observation
meat
concentration
implication
king
interaction
soul
emergency
manufacturer
accommodation
reporter
climate
exception
corporation
winner
beauty
creation
illness
journalist
gene
criterion
criticism
convention
examination
revolution
protein
minority
origin
interpretation
gentleman
drama
minor
achievement
supplier
acquisition
recognition
assistance
retirement
variation
representation
preparation
agenda
emphasis
edition
entertainment
publication
framework
equivalent
governor
arrival
beer
specialist
mood
episode
symptom
era
prisoner
welfare
phenomenon
pupil
routine
hero
supporter
disaster
terrorist
vital
depression
distinction
satisfaction
obligation
pub
perception
currency
database
territory
height
expansion
boundary
ratio
pollution
symbol
apartment
demonstration
analyst
platform
restriction
foundation
designer
innovation
album
singer
extension
invitation
adviser
mode
poem
competitor
alcohol
festival
vegetable
van
confident
planet
depth
giant
god
substance
independence
inner
shadow
intervention
exam
vice
infection
jacket
efficiency
membership
quantity
dealer
shareholder
discovery
resistance
bath
frequency
philosophy
approval
involvement
exposure
digital
formation
establishment
summary
recovery
operator
infant
dependent
anxiety
virus
teenager
surgery
musician
significance
charity
universal
cigarette
consultant
historian
cousin
twin
custom
preference
incentive
league
margin
opponent
capability
absolute
barrier
tendency
survival
permission
valley
evolution
architecture
coal
measurement
illustration
buyer
laboratory
promotion
passion
province
evaluation
weakness
announcement
opera
gallery
chest
publisher
celebration
compensation
deficit
friendship
profession
equation
inflation
therapy
orange
imagination
throat
insight
expenditure
joy
poet
fortune
ceremony
mixture
scholar
creature
partnership
participation
clause
penalty
poetry
sake
possession
abortion
tale
maintenance
constraint
diversity
inquiry
limitation
indication
stability
carbon
cheese
destruction
guitar
piano
mystery
menu
airline
amendment
grandmother
jury
composition
maker
chocolate
potato
tissue
pro
stair
motivation
interior
championship
servant
immigrant
excess
complexity
liability
implementation
guideline
envelope
luxury
printer
attraction
ocean
veteran
reflection
determination
fiction
confusion
logic
grammar
liquid
uncle
rice
slope
vessel
verb
transportation
comedy
storage
universe
lover
portrait
innocent
adjustment
stranger
probability
uncertainty
refugee
excitement
pregnancy
experimental
empire
attendance
ownership
qualification
athlete
server
hypothesis
royal
mayor
aunt
tournament
registration
listener
tender
density
module
autumn
attachment
holder
noun
